X,Y,Tile Type
10,10,None
10,11,General
10,12,General
10,13,General
10,14,None
10,15,None
10,16,None
10,17,None
10,18,None
10,19,None
10,20,None
10,21,None
10,22,None
10,23,None
10,24,None
10,25,None
10,26,General
10,27,General
10,28,None
10,29,None
10,30,None
10,31,None
10,32,None
10,33,None
10,34,None
10,35,None
10,36,General
10,37,General
10,38,General
10,39,None
10,40,None
10,41,None
10,42,None
11,0,None
11,1,Chest
11,2,None
11,3,General
11,4,None
11,5,None
11,6,None
11,7,None
11,8,None
11,9,None
11,10,None
11,11,None
11,12,None
11,13,General
11,14,None
11,15,None
11,16,None
11,17,None
11,18,None
11,19,None
11,20,None
11,21,General
11,22,General
11,23,General
11,24,General
11,25,General
11,26,General
11,27,General
11,28,General
11,29,General
11,30,General
11,31,General
11,32,General
11,33,None
11,34,None
11,35,None
11,36,Event/Hint
11,37,General
11,38,General
11,39,None
11,40,None
11,41,None
11,42,None
12,0,General
12,1,General
12,2,General
12,3,General
12,4,General
12,5,General
12,6,General
12,7,None
12,8,None
12,9,None
12,10,None
12,11,None
12,12,General
12,13,General
12,14,General
12,15,None
12,16,None
12,17,None
12,18,None
12,19,None
12,20,None
12,21,General
12,22,None
12,23,None
12,24,None
12,25,None
12,26,None
12,27,None
12,28,Trap
12,29,None
12,30,None
12,31,None
12,32,General
12,33,None
12,34,None
12,35,None
12,36,General
12,37,General
12,38,General
12,39,None
12,40,None
12,41,None
12,42,None
13,0,General
13,1,General
13,2,General
13,3,General
13,4,General
13,5,General
13,6,General
13,7,None
13,8,None
13,9,None
13,10,None
13,11,General
13,12,General
13,13,General
13,14,General
13,15,General
13,16,None
13,17,General
13,18,General
13,19,General
13,20,General
13,21,General
13,22,None
13,23,None
13,24,None
13,25,None
13,26,General
13,27,None
13,28,General
13,29,None
13,30,Teleport
13,31,None
13,32,General
13,33,None
13,34,None
13,35,None
13,36,General
13,37,General
13,38,General
13,39,None
13,40,None
13,41,None
13,42,None
14,0,General
14,1,None
14,2,None
14,3,None
14,4,General
14,5,None
14,6,General
14,7,None
14,8,General
14,9,General
14,10,General
14,11,General
14,12,General
14,13,General
14,14,General
14,15,General
14,16,General
14,17,General
14,18,None
14,19,General
14,20,None
14,21,General
14,22,None
14,23,None
14,24,None
14,25,None
14,26,General
14,27,None
14,28,General
14,29,Event/Hint
14,30,General
14,31,Chest
14,32,General
14,33,General
14,34,General
14,35,General
14,36,General
14,37,General
14,38,General
14,39,General
14,40,General
14,41,General
14,42,General
15,0,General
15,1,None
15,2,Teleport
15,3,None
15,4,Teleport
15,5,None
15,6,General
15,7,General
15,8,General
15,9,None
15,10,None
15,11,General
15,12,General
15,13,General
15,14,General
15,15,General
15,16,None
15,17,General
15,18,General
15,19,General
15,20,General
15,21,General
15,22,None
15,23,None
15,24,None
15,25,None
15,26,General
15,27,None
15,28,General
15,29,None
15,30,General
15,31,Boss
15,32,General
15,33,None
15,34,None
15,35,None
15,36,General
15,37,General
15,38,Trap
15,39,General
15,40,Key
15,41,General
15,42,General
16,0,General
16,1,None
16,2,General
16,3,None
16,4,None
16,5,None
16,6,General
16,7,None
16,8,None
16,9,None
16,10,None
16,11,None
16,12,General
16,13,General
16,14,General
16,15,None
16,16,None
16,17,None
16,18,None
16,19,None
16,20,None
16,21,General
16,22,None
16,23,None
16,24,None
16,25,None
16,26,General
16,27,None
16,28,General
16,29,General
16,30,General
16,31,None
16,32,General
16,33,None
16,34,None
16,35,None
16,36,General
16,37,General
16,38,General
16,39,General
16,40,General
16,41,Chest
16,42,General
17,0,General
17,1,General
17,2,General
17,3,Puzzle/Letter
17,4,General
17,5,General
17,6,General
17,7,None
17,8,None
17,9,None
17,10,None
17,11,None
17,12,None
17,13,General
17,14,None
17,15,None
17,16,None
17,17,None
17,18,None
17,19,None
17,20,None
17,21,General
17,22,None
17,23,None
17,24,None
17,25,None
17,26,General
17,27,None
17,28,General
17,29,General
17,30,General
17,31,None
17,32,General
17,33,None
17,34,None
17,35,None
17,36,General
17,37,General
17,38,General
17,39,None
17,40,None
17,41,None
17,42,None
18,0,General
18,1,General
18,2,General
18,3,General
18,4,General
18,5,General
18,6,General
18,7,None
18,8,None
18,9,None
18,10,None
18,11,None
18,12,None
18,13,General
18,14,None
18,15,None
18,16,None
18,17,None
18,18,None
18,19,None
18,20,None
18,21,General
18,22,General
18,23,General
18,24,Teleport
18,25,General
18,26,General
18,27,General
18,28,General
18,29,General
18,30,General
18,31,General
18,32,General
18,33,None
18,34,None
18,35,None
18,36,General
18,37,Farming
18,38,General
18,39,None
18,40,None
18,41,None
18,42,None
19,0,None
19,1,None
19,2,None
19,3,None
19,4,None
19,5,None
19,6,None
19,7,None
19,8,None
19,9,Puzzle/Letter
19,10,General
19,11,None
19,12,None
19,13,General
19,14,None
19,15,None
19,16,General
19,17,Teleport
19,18,None
19,19,None
19,20,None
19,21,None
19,22,None
19,23,General
19,24,Teleport
19,25,None
19,26,None
19,27,None
19,28,None
19,29,Puzzle/Letter
19,30,None
19,31,None
19,32,None
19,33,None
19,34,None
19,35,None
19,36,General
19,37,None
19,38,General
19,39,None
19,40,None
19,41,None
19,42,None
20,0,None
20,1,None
20,2,None
20,3,None
20,4,None
20,5,None
20,6,None
20,7,None
20,8,None
20,9,General
20,10,General
20,11,General
20,12,General
20,13,General
20,14,General
20,15,General
20,16,General
20,17,General
20,18,None
20,19,None
20,20,None
20,21,None
20,22,General
20,23,General
20,24,General
20,25,None
20,26,None
20,27,None
20,28,None
20,29,General
20,30,None
20,31,None
20,32,None
20,33,None
20,34,None
20,35,None
20,36,General
20,37,General
20,38,General
20,39,None
20,40,None
20,41,None
20,42,None
21,0,None
21,1,None
21,2,None
21,3,None
21,4,None
21,5,None
21,6,None
21,7,None
21,8,None
21,9,None
21,10,General
21,11,None
21,12,None
21,13,None
21,14,None
21,15,None
21,16,General
21,17,None
21,18,None
21,19,None
21,20,None
21,21,None
21,22,General
21,23,General
21,24,General
21,25,None
21,26,None
21,27,None
21,28,None
21,29,General
21,30,None
21,31,None
21,32,None
21,33,None
21,34,None
21,35,None
21,36,None
21,37,None
21,38,None
21,39,None
21,40,None
21,41,None
21,42,None
22,0,None
22,1,None
22,2,None
22,3,None
22,4,None
22,5,None
22,6,None
22,7,None
22,8,None
22,9,None
22,10,General
22,11,None
22,12,Chest
22,13,None
22,14,Trap
22,15,None
22,16,General
22,17,None
22,18,None
22,19,None
22,20,None
22,21,None
22,22,None
22,23,General
22,24,None
22,25,None
22,26,None
22,27,None
22,28,None
22,29,General
22,30,None
22,31,None
22,32,None
22,33,None
22,34,None
22,35,None
22,36,None
22,37,None
22,38,None
22,39,None
22,40,None
22,41,None
22,42,None
23,0,None
23,1,None
23,2,None
23,3,None
23,4,None
23,5,None
23,6,None
23,7,None
23,8,None
23,9,None
23,10,General
23,11,None
23,12,General
23,13,None
23,14,General
23,15,None
23,16,General
23,17,None
23,18,None
23,19,None
23,20,None
23,21,None
23,22,None
23,23,General
23,24,None
23,25,None
23,26,None
23,27,None
23,28,None
23,29,General
23,30,General
23,31,General
23,32,General
23,33,General
23,34,General
23,35,General
23,36,General
23,37,General
23,38,General
23,39,General
23,40,General
23,41,Puzzle/Letter
23,42,None
24,0,None
24,1,None
24,2,None
24,3,None
24,4,None
24,5,None
24,6,None
24,7,None
24,8,None
24,9,None
24,10,General
24,11,None
24,12,General
24,13,None
24,14,General
24,15,None
24,16,General
24,17,None
24,18,None
24,19,None
24,20,None
24,21,None
24,22,None
24,23,General
24,24,None
24,25,None
24,26,None
24,27,None
24,28,None
24,29,Farming
24,30,General
24,31,General
24,32,General
24,33,General
24,34,General
24,35,General
24,36,General
24,37,General
24,38,General
24,39,General
24,40,General
24,41,General
24,42,None
25,0,None
25,1,None
25,2,None
25,3,None
25,4,None
25,5,None
25,6,None
25,7,None
25,8,None
25,9,Farming
25,10,General
25,11,General
25,12,General
25,13,General
25,14,General
25,15,General
25,16,General
25,17,General
25,18,None
25,19,None
25,20,General
25,21,General
25,22,General
25,23,General
25,24,None
25,25,None
25,26,None
25,27,None
25,28,None
25,29,General
25,30,Trap
25,31,General
25,32,General
25,33,None
25,34,None
25,35,None
25,36,None
25,37,None
25,38,None
25,39,None
25,40,General
25,41,General
25,42,None
26,0,None
26,1,None
26,2,None
26,3,None
26,4,None
26,5,None
26,6,None
26,7,None
26,8,None
26,9,Farming
26,10,General
26,11,None
26,12,None
26,13,General
26,14,None
26,15,None
26,16,General
26,17,General
26,18,None
26,19,None
26,20,General
26,21,None
26,22,None
26,23,None
26,24,None
26,25,None
26,26,None
26,27,None
26,28,None
26,29,General
26,30,General
26,31,General
26,32,General
26,33,General
26,34,General
26,35,Farming
26,36,None
26,37,Chest
26,38,General
26,39,General
26,40,General
26,41,General
26,42,None
27,0,None
27,1,None
27,2,None
27,3,None
27,4,None
27,5,None
27,6,None
27,7,None
27,8,None
27,9,None
27,10,None
27,11,None
27,12,None
27,13,General
27,14,None
27,15,None
27,16,None
27,17,General
27,18,General
27,19,General
27,20,General
27,21,Chest
27,22,General
27,23,General
27,24,General
27,25,General
27,26,General
27,27,None
27,28,None
27,29,General
27,30,General
27,31,General
27,32,General
27,33,Teleport
27,34,General
27,35,None
27,36,Puzzle/Letter
27,37,None
27,38,General
27,39,Trap
27,40,General
27,41,General
27,42,None
28,0,None
28,1,None
28,2,None
28,3,None
28,4,None
28,5,None
28,6,None
28,7,None
28,8,None
28,9,None
28,10,None
28,11,None
28,12,None
28,13,None
28,14,None
28,15,None
28,16,None
28,17,General
28,18,General
28,19,General
28,20,General
28,21,General
28,22,General
28,23,General
28,24,General
28,25,Trap
28,26,General
28,27,None
28,28,None
28,29,General
28,30,General
28,31,General
28,32,General
28,33,General
28,34,None
28,35,General
28,36,General
28,37,General
28,38,None
28,39,General
28,40,General
28,41,General
28,42,None
29,0,None
29,1,None
29,2,None
29,3,None
29,4,None
29,5,None
29,6,None
29,7,None
29,8,None
29,9,None
29,10,None
29,11,None
29,12,None
29,13,None
29,14,None
29,15,None
29,16,None
29,17,General
29,18,General
29,19,None
29,20,None
29,21,None
29,22,None
29,23,None
29,24,General
29,25,General
29,26,General
29,27,None
29,28,None
29,29,General
29,30,General
29,31,General
29,32,General
29,33,None
29,34,General
29,35,General
29,36,General
29,37,General
29,38,General
29,39,None
29,40,General
29,41,General
29,42,None
30,0,None
30,1,None
30,2,None
30,3,None
30,4,None
30,5,None
30,6,None
30,7,None
30,8,None
30,9,None
30,10,None
30,11,None
30,12,None
30,13,None
30,14,None
30,15,None
30,16,None
30,17,General
30,18,None
30,19,None
30,20,General
30,21,General
30,22,General
30,23,None
30,24,None
30,25,General
30,26,General
30,27,None
30,28,None
30,29,General
30,30,Key
30,31,General
30,32,General
30,33,General
30,34,General
30,35,General
30,36,General
30,37,General
30,38,General
30,39,General
30,40,General
30,41,General
30,42,None
31,0,None
31,1,None
31,2,None
31,3,None
31,4,None
31,5,None
31,6,None
31,7,None
31,8,None
31,9,None
31,10,None
31,11,None
31,12,None
31,13,None
31,14,None
31,15,None
31,16,None
31,17,General
31,18,None
31,19,General
31,20,General
31,21,General
31,22,General
31,23,General
31,24,None
31,25,General
31,26,General
31,27,None
31,28,None
31,29,Event/Hint
31,30,None
31,31,None
31,32,None
31,33,None
31,34,General
31,35,General
31,36,General
31,37,Chest
31,38,General
31,39,General
31,40,General
31,41,General
31,42,None
32,0,None
32,1,None
32,2,None
32,3,None
32,4,None
32,5,None
32,6,None
32,7,None
32,8,None
32,9,None
32,10,None
32,11,None
32,12,None
32,13,None
32,14,None
32,15,None
32,16,None
32,17,General
32,18,None
32,19,Puzzle/Letter
32,20,General
32,21,General
32,22,General
32,23,General
32,24,None
32,25,General
32,26,General
32,27,None
32,28,None
32,29,General
32,30,None
32,31,Teleport
32,32,General
32,33,General
32,34,None
32,35,General
32,36,General
32,37,None
32,38,None
32,39,General
32,40,General
32,41,General
32,42,None
33,0,None
33,1,None
33,2,None
33,3,None
33,4,None
33,5,None
33,6,None
33,7,None
33,8,None
33,9,None
33,10,None
33,11,None
33,12,None
33,13,None
33,14,None
33,15,None
33,16,None
33,17,General
33,18,None
33,19,None
33,20,General
33,21,General
33,22,General
33,23,None
33,24,None
33,25,General
33,26,General
33,27,None
33,28,None
33,29,General
33,30,None
33,31,General
33,32,Puzzle/Letter
33,33,General
33,34,None
33,35,Trap
33,36,General
33,37,None
33,38,None
33,39,General
33,40,General
33,41,General
33,42,None
34,0,None
34,1,None
34,2,None
34,3,None
34,4,None
34,5,None
34,6,None
34,7,None
34,8,None
34,9,None
34,10,None
34,11,None
34,12,None
34,13,None
34,14,None
34,15,None
34,16,None
34,17,General
34,18,General
34,19,General
34,20,General
34,21,General
34,22,General
34,23,General
34,24,General
34,25,General
34,26,General
34,27,None
34,28,None
34,29,General
34,30,None
34,31,None
34,32,None
34,33,None
34,34,General
34,35,General
34,36,General
34,37,General
34,38,General
34,39,General
34,40,General
34,41,General
34,42,None
35,0,None
35,1,None
35,2,None
35,3,None
35,4,None
35,5,None
35,6,None
35,7,None
35,8,None
35,9,None
35,10,None
35,11,None
35,12,None
35,13,None
35,14,None
35,15,None
35,16,General
35,17,General
35,18,General
35,19,General
35,20,General
35,21,General
35,22,General
35,23,General
35,24,General
35,25,General
35,26,General
35,27,General
35,28,None
35,29,General
35,30,None
35,31,General
35,32,General
35,33,General
35,34,None
35,35,General
35,36,General
35,37,General
35,38,General
35,39,General
35,40,General
35,41,General
35,42,None
36,0,None
36,1,None
36,2,None
36,3,None
36,4,None
36,5,None
36,6,None
36,7,None
36,8,None
36,9,None
36,10,None
36,11,None
36,12,None
36,13,None
36,14,None
36,15,None
36,16,General
36,17,General
36,18,None
36,19,None
36,20,None
36,21,None
36,22,None
36,23,None
36,24,None
36,25,General
36,26,General
36,27,General
36,28,None
36,29,General
36,30,None
36,31,Teleport
36,32,General
36,33,General
36,34,None
36,35,General
36,36,None
36,37,None
36,38,None
36,39,None
36,40,None
36,41,Trap
36,42,None
37,0,None
37,1,None
37,2,None
37,3,None
37,4,None
37,5,None
37,6,None
37,7,None
37,8,None
37,9,None
37,10,None
37,11,None
37,12,None
37,13,None
37,14,None
37,15,None
37,16,Key
37,17,None
37,18,None
37,19,Teleport
37,20,General
37,21,None
37,22,General
37,23,General
37,24,General
37,25,General
37,26,General
37,27,General
37,28,None
37,29,General
37,30,None
37,31,None
37,32,None
37,33,None
37,34,General
37,35,General
37,36,General
37,37,General
37,38,None
37,39,Teleport
37,40,General
37,41,General
37,42,None
38,0,None
38,1,None
38,2,None
38,3,None
38,4,None
38,5,None
38,6,None
38,7,None
38,8,None
38,9,None
38,10,None
38,11,None
38,12,None
38,13,None
38,14,None
38,15,None
38,16,General
38,17,General
38,18,None
38,19,General
38,20,General
38,21,None
38,22,None
38,23,Trap
38,24,General
38,25,General
38,26,General
38,27,General
38,28,None
38,29,General
38,30,General
38,31,General
38,32,General
38,33,General
38,34,General
38,35,General
38,36,General
38,37,General
38,38,None
38,39,General
38,40,General
38,41,General
38,42,None
39,0,None
39,1,None
39,2,None
39,3,None
39,4,None
39,5,None
39,6,None
39,7,None
39,8,None
39,9,None
39,10,None
39,11,None
39,12,None
39,13,None
39,14,None
39,15,None
39,16,General
39,17,General
39,18,None
39,19,General
39,20,Puzzle/Letter
39,21,None
39,22,General
39,23,None
39,24,General
39,25,General
39,26,General
39,27,General
39,28,None
39,29,General
39,30,None
39,31,None
39,32,None
39,33,General
39,34,None
39,35,General
39,36,General
39,37,General
39,38,None
39,39,General
39,40,General
39,41,General
39,42,None
40,0,None
40,1,None
40,2,None
40,3,None
40,4,None
40,5,None
40,6,None
40,7,None
40,8,None
40,9,None
40,10,None
40,11,None
40,12,None
40,13,None
40,14,None
40,15,None
40,16,General
40,17,General
40,18,General
40,19,None
40,20,None
40,21,General
40,22,General
40,23,Trap
40,24,None
40,25,General
40,26,General
40,27,General
40,28,None
40,29,General
40,30,Event/Hint
40,31,General
40,32,Event/Hint
40,33,Trap
40,34,None
40,35,General
40,36,Chest
40,37,General
40,38,None
40,39,General
40,40,General
40,41,General
40,42,None
41,0,None
41,1,None
41,2,None
41,3,None
41,4,None
41,5,None
41,6,None
41,7,None
41,8,None
41,9,None
41,10,None
41,11,None
41,12,None
41,13,None
41,14,None
41,15,None
41,16,Teleport
41,17,General
41,18,General
41,19,General
41,20,General
41,21,General
41,22,General
41,23,General
41,24,General
41,25,General
41,26,General
41,27,General
41,28,None
41,29,General
41,30,None
41,31,None
41,32,None
41,33,None
41,34,None
41,35,General
41,36,Puzzle/Letter
41,37,Puzzle/Letter
41,38,None
41,39,Teleport
41,40,Farming
41,41,General
41,42,None
42,0,None
42,1,None
42,2,None
42,3,None
42,4,None
42,5,None
42,6,None
42,7,None
42,8,None
42,9,None
42,10,None
42,11,None
42,12,None
42,13,None
42,14,None
42,15,None
42,16,Teleport
42,17,General
42,18,General
42,19,General
42,20,General
42,21,General
42,22,General
42,23,General
42,24,General
42,25,General
42,26,General
42,27,General
42,28,None
42,29,General
42,30,General
42,31,General
42,32,General
42,33,General
42,34,General
42,35,General
42,36,None
42,37,None
42,38,None
42,39,None
42,40,None
42,41,General
42,42,None
43,0,None
43,1,None
43,2,None
43,3,None
43,4,None
43,5,None
43,6,None
43,7,None
43,8,None
43,9,None
43,10,None
43,11,None
43,12,None
43,13,None
43,14,None
43,15,None
43,16,None
43,17,None
43,18,None
43,19,None
43,20,None
43,21,None
43,22,None
43,23,None
43,24,None
43,25,None
43,26,None
43,27,General
43,28,General
43,29,General
43,30,General
43,31,General
43,32,None
43,33,General
43,34,General
43,35,General
43,36,General
43,37,General
43,38,General
43,39,General
43,40,General
43,41,General
43,42,None
