X,Y,Direction,Type,Passable
5,31,North,Open,O
5,31,East,Open,O
5,31,South,Open,O
5,31,West,Wall,X
5,32,North,Open,O
5,32,East,Open,O
5,32,South,Wall,X
5,32,West,Wall,X
5,36,North,Wall,X
5,36,East,Open,O
5,36,South,Wall,X
5,36,West,Open,O
6,0,North,Wall,X
6,0,East,Open,O
6,0,South,Open,O
6,0,West,Open,O
6,1,North,Open,O
6,1,East,Wall,X
6,1,South,Open,O
6,1,West,Wall,X
6,2,North,Open,O
6,2,East,Wall,X
6,2,South,Open,O
6,2,West,Wall,X
6,3,North,Open,O
6,3,East,Wall,X
6,3,South,Wall,X
6,3,West,Wall,X
6,5,North,Wall,X
6,5,East,Open,O
6,5,South,Open,O
6,5,West,Open,O
6,6,North,Open,O
6,6,East,Open,O
6,6,South,Open,O
6,6,West,OneWay,X
6,7,North,Open,O
6,7,East,OneWay,O
6,7,South,Wall,X
6,7,West,Wall,X
6,24,East,OneWay,O
6,24,West,OneWay,X
6,9,North,Wall,X
6,9,East,Open,O
6,9,South,Open,O
6,9,West,Open,O
6,10,North,Open,O
6,10,East,Open,O
6,10,South,Wall,X
6,10,West,Wall,X
6,23,North,Wall,X
6,23,East,Open,O
6,23,South,Door,O
6,23,West,Wall,X
6,25,South,OneWay,X
6,24,North,Door,O
6,26,North,OneWay,O
6,24,South,Open,O
6,25,North,Open,O
6,25,East,Wall,X
6,25,West,Wall,X
6,26,East,Open,O
6,26,South,Open,O
6,26,West,Open,O
6,27,North,Open,O
6,27,East,Open,O
6,27,South,Open,O
6,27,West,Open,O
6,28,North,Open,O
6,28,East,Open,O
6,28,South,Door,O
6,28,West,Open,O
6,29,North,Door,O
6,29,East,Open,O
6,29,South,Open,O
6,29,West,Open,O
6,33,North,LockedDoor,X
6,33,East,Wall,X
6,33,South,Wall,X
6,33,West,Wall,X
6,30,North,Open,O
6,30,East,Open,O
6,30,South,Open,O
6,30,West,Open,O
6,31,North,Open,O
6,31,East,Open,O
6,31,South,Open,O
6,31,West,Open,O
6,32,North,Open,O
6,32,East,Open,O
6,32,South,LockedDoor,X
6,32,West,Open,O
6,36,North,Wall,X
6,36,East,Door,O
6,36,South,Wall,X
6,36,West,Open,O
7,0,North,Wall,X
7,0,East,Open,O
7,0,South,Wall,X
7,0,West,Open,O
7,5,North,Wall,X
7,5,East,Open,O
7,5,South,Open,O
7,5,West,Open,O
7,6,North,Open,O
7,6,East,Wall,X
7,6,South,Open,O
7,6,West,Open,O
7,7,North,Open,O
7,7,East,Wall,X
7,7,South,Door,O
7,8,North,Door,O
7,8,East,Wall,X
7,8,South,Open,O
7,8,West,Wall,X
7,9,North,Open,O
7,9,East,Open,O
7,9,South,Open,O
7,9,West,Open,O
7,10,North,Open,O
7,10,East,Open,O
7,10,South,Open,O
7,10,West,Open,O
7,11,North,Open,O
7,11,East,Open,O
7,11,South,Wall,X
7,11,West,Wall,X
7,23,North,Wall,X
7,23,East,Open,O
7,23,South,Open,O
7,23,West,Open,O
7,7,West,OneWay,X
7,24,North,Open,O
7,24,East,Open,O
7,24,South,Wall,X
7,24,West,OneWay,X
7,26,North,Wall,X
7,26,East,Wall,X
7,26,South,Open,O
7,26,West,Open,O
7,27,North,Open,O
7,27,East,Door,O
7,27,South,Open,O
7,27,West,Open,O
7,28,North,Open,O
7,28,East,Wall,X
7,28,South,Open,O
7,28,West,Open,O
7,29,North,Open,O
7,29,East,Wall,X
7,29,South,Open,O
7,29,West,Open,O
7,30,North,Open,O
7,30,East,Wall,X
7,30,South,Open,O
7,30,West,Open,O
7,31,North,Open,O
7,31,East,Wall,X
7,31,South,Open,O
7,31,West,Open,O
7,32,North,Open,O
7,32,East,Wall,X
7,32,South,Wall,X
7,32,West,Open,O
7,36,North,Wall,X
7,36,East,Open,O
7,36,South,Open,O
7,36,West,Door,O
7,37,North,Open,O
7,37,East,Open,O
7,37,South,Open,O
7,37,West,Wall,X
7,38,North,Open,O
7,38,East,Open,O
7,38,South,Wall,X
7,38,West,Wall,X
8,0,North,Wall,X
8,0,East,Wall,X
8,0,South,Open,O
8,0,West,Open,O
8,1,North,Open,O
8,1,East,Open,O
8,1,South,Open,O
8,1,West,Wall,X
8,2,North,Open,O
8,2,East,Open,O
8,2,South,Open,O
8,2,West,Wall,X
8,3,North,Open,O
8,3,East,Open,O
8,3,South,Open,O
8,3,West,Wall,X
8,4,North,Open,O
8,4,East,Open,O
8,4,South,Open,O
8,4,West,Wall,X
8,5,North,Open,O
8,5,East,Open,O
8,5,South,Wall,X
8,5,West,Open,O
8,9,North,Wall,X
8,9,East,Wall,X
8,9,South,Open,O
8,9,West,Open,O
8,10,North,Open,O
8,10,East,Open,O
8,10,South,Open,O
8,10,West,Open,O
8,11,North,Open,O
8,11,East,Open,O
8,11,South,Wall,X
8,11,West,Open,O
8,23,North,Wall,X
8,23,East,Wall,X
8,23,South,Open,O
8,23,West,Open,O
8,24,North,Open,O
8,24,East,Wall,X
8,24,South,Wall,X
8,24,West,Open,O
8,36,South,OneWay,X
8,37,North,OneWay,O
8,27,North,Wall,X
8,27,East,Open,O
8,27,South,Wall,X
8,27,West,Door,O
8,37,South,OneWay,X
8,38,North,OneWay,O
8,36,North,Wall,X
8,36,East,Open,O
8,36,West,Open,O
8,37,East,Open,O
8,37,West,Open,O
8,38,East,Open,O
8,38,South,Wall,X
8,38,West,Open,O
9,1,North,Wall,X
9,1,East,Door,O
9,1,South,Open,O
9,1,West,Open,O
9,2,North,Open,O
9,2,East,Wall,X
9,2,South,Open,O
9,2,West,Open,O
9,3,North,Open,O
9,3,East,Open,O
9,3,South,Open,O
9,3,West,Open,O
9,4,North,Open,O
9,4,East,Wall,X
9,4,South,Open,O
9,4,West,Open,O
9,5,North,Open,O
9,5,East,Wall,X
9,5,South,Wall,X
9,5,West,Open,O
9,10,North,Wall,X
9,10,East,Wall,X
9,10,South,Open,O
9,10,West,Open,O
9,11,North,Open,O
9,11,East,Open,O
9,11,South,Open,O
9,11,West,Open,O
9,12,North,Open,O
9,12,East,Open,O
9,12,South,Wall,X
9,12,West,Wall,X
9,26,North,Wall,X
9,26,East,Open,O
9,26,South,Open,O
9,26,West,Wall,X
9,27,North,Open,O
9,27,East,Open,O
9,27,South,Wall,X
9,27,West,Open,O
9,36,North,Wall,X
9,36,East,Open,O
9,36,South,Open,O
9,36,West,Open,O
9,37,North,Open,O
9,37,East,Open,O
9,37,South,Open,O
9,37,West,Open,O
9,38,North,Open,O
9,38,East,Open,O
9,38,South,Wall,X
9,38,West,Open,O
10,1,North,Wall,X
10,1,East,Wall,X
10,1,South,Wall,X
10,1,West,Door,O
10,3,North,Wall,X
10,3,East,Open,O
10,3,South,Wall,X
10,3,West,Open,O
10,11,North,Wall,X
10,11,East,Wall,X
10,11,South,Open,O
10,11,West,Open,O
10,12,North,Open,O
10,12,East,Wall,X
10,12,South,Open,O
10,12,West,Open,O
10,13,North,Open,O
10,13,East,Door,O
10,13,South,Wall,X
10,13,West,Wall,X
10,26,North,Wall,X
10,26,East,Open,O
10,26,South,Open,O
10,26,West,Open,O
10,27,North,Open,O
10,27,East,Door,O
10,27,South,Wall,X
10,27,West,Open,O
10,36,North,Wall,X
10,36,East,Open,O
10,36,South,OneWay,X
10,36,West,Open,O
10,37,North,OneWay,O
10,37,East,Open,O
10,37,South,Open,O
10,37,West,Open,O
10,38,North,Open,O
10,38,East,Open,O
10,38,South,Wall,X
10,38,West,Open,O
11,3,North,Wall,X
11,3,East,Door,O
11,3,South,Wall,X
11,3,West,Open,O
11,13,North,Wall,X
11,13,East,Open,O
11,13,South,Wall,X
11,13,West,Door,O
11,21,North,Wall,X
11,21,East,Open,O
11,21,South,Open,O
11,21,West,Wall,X
11,22,North,Open,O
11,22,East,Wall,X
11,22,South,Open,O
11,22,West,Wall,X
11,23,North,Open,O
11,23,East,Wall,X
11,23,South,Open,O
11,23,West,Wall,X
11,24,North,Open,O
11,24,East,Wall,X
11,24,South,Open,O
11,24,West,Wall,X
11,25,North,Open,O
11,25,East,Wall,X
11,25,South,Open,O
11,25,West,Wall,X
11,26,North,Open,O
11,26,East,Wall,X
11,26,South,Open,O
11,26,West,Open,O
11,27,North,Open,O
11,27,East,Wall,X
11,27,South,Open,O
11,27,West,Door,O
11,28,North,Open,O
11,28,East,OneWay,O
11,28,South,Open,O
11,28,West,Wall,X
11,29,North,Open,O
11,29,East,Wall,X
11,29,South,Open,O
11,29,West,Wall,X
11,30,North,Open,O
11,30,East,Wall,X
11,30,South,Open,O
11,30,West,Wall,X
11,31,North,Open,O
11,31,East,Wall,X
11,31,South,Open,O
11,31,West,Wall,X
11,32,North,Open,O
11,32,East,Open,O
11,32,South,Wall,X
11,32,West,Wall,X
11,36,North,Wall,X
11,36,East,Open,O
11,36,South,Open,O
11,36,West,Open,O
11,37,North,Open,O
11,37,East,Open,O
11,37,South,OneWay,O
11,37,West,Open,O
11,38,North,OneWay,X
11,38,East,Open,O
11,38,South,Wall,X
11,38,West,Open,O
12,0,North,Wall,X
12,0,East,Open,O
12,0,South,Open,O
12,0,West,Wall,X
12,1,North,Open,O
12,1,East,Open,O
12,1,South,Open,O
12,1,West,Wall,X
12,2,North,Open,O
12,2,East,Open,O
12,2,South,Open,O
12,2,West,Wall,X
12,3,North,Open,O
12,3,East,Open,O
12,3,South,Open,O
12,3,West,Door,O
12,4,North,Open,O
12,4,East,Open,O
12,4,South,Open,O
12,4,West,Wall,X
12,5,North,Open,O
12,5,East,Open,O
12,5,South,Open,O
12,5,West,Wall,X
12,6,North,Open,O
12,6,East,Open,O
12,6,South,Wall,X
12,6,West,Wall,X
12,12,North,Wall,X
12,12,East,Open,O
12,12,South,Open,O
12,12,West,Wall,X
12,13,North,Open,O
12,13,East,Open,O
12,13,South,Open,O
12,13,West,Open,O
12,14,North,Open,O
12,14,East,Open,O
12,14,South,Wall,X
12,14,West,Wall,X
12,21,North,Wall,X
12,21,East,Open,O
12,21,South,Wall,X
12,21,West,Open,O
12,28,North,Wall,X
12,28,East,Open,O
12,28,South,Wall,X
12,28,West,OneWay,X
12,32,North,Wall,X
12,32,East,Open,O
12,32,South,Wall,X
12,32,West,Open,O
12,36,North,Wall,X
12,36,East,Open,O
12,36,South,Open,O
12,36,West,Open,O
12,37,North,Open,O
12,37,East,Open,O
12,37,South,Open,O
12,37,West,Open,O
12,38,North,Open,O
12,38,East,Open,O
12,38,South,Wall,X
12,38,West,Open,O
13,0,North,Wall,X
13,0,East,Open,O
13,0,South,Open,O
13,0,West,Open,O
13,1,North,Open,O
13,1,East,Wall,X
13,1,South,Open,O
13,1,West,Open,O
13,2,North,Open,O
13,2,East,Wall,X
13,2,South,Open,O
13,2,West,Open,O
13,3,North,Open,O
13,3,East,Wall,X
13,3,South,Open,O
13,3,West,Open,O
13,4,North,Open,O
13,4,East,Open,O
13,4,South,Open,O
13,4,West,Open,O
13,5,North,Open,O
13,5,East,Wall,X
13,5,South,Open,O
13,5,West,Open,O
13,6,North,Open,O
13,6,East,Open,O
13,6,South,Wall,X
13,6,West,Open,O
13,11,North,Wall,X
13,11,East,Open,O
13,11,South,Open,O
13,11,West,Wall,X
13,12,North,Open,O
13,12,East,Open,O
13,12,South,Open,O
13,12,West,Open,O
13,13,North,Open,O
13,13,East,Open,O
13,13,South,Open,O
13,13,West,Open,O
13,14,North,Open,O
13,14,East,Open,O
13,14,South,Open,O
13,14,West,Open,O
13,15,North,Open,O
13,15,East,Open,O
13,15,South,Wall,X
13,15,West,Wall,X
13,17,North,Wall,X
13,17,East,Door,O
13,17,South,Open,O
13,17,West,Wall,X
13,18,North,Open,O
13,18,East,Wall,X
13,18,South,Open,O
13,18,West,Wall,X
13,19,North,Open,O
13,19,East,Open,O
13,19,South,Open,O
13,19,West,Wall,X
13,20,North,Open,O
13,20,East,Wall,X
13,20,South,Open,O
13,20,West,Wall,X
13,21,North,Open,O
13,21,East,Open,O
13,21,South,Wall,X
13,21,West,Open,O
13,26,North,Wall,X
13,26,East,Open,O
13,26,South,Wall,X
13,26,West,Wall,X
13,28,North,Wall,X
13,28,East,OneWay,O
13,28,South,Wall,X
13,28,West,Open,O
13,30,North,Wall,X
13,30,South,Wall,X
13,30,West,Wall,X
13,30,East,OneWay,O
13,32,North,Wall,X
13,32,East,Open,O
13,32,South,Wall,X
13,32,West,Open,O
13,36,North,Wall,X
13,36,East,Open,O
13,36,South,OneWay,X
13,36,West,Open,O
13,37,North,OneWay,O
13,37,East,Open,O
13,37,South,Open,O
13,37,West,Open,O
13,38,North,Open,O
13,38,East,Open,O
13,38,South,Wall,X
13,38,West,Open,O
14,0,North,Wall,X
14,0,East,Open,O
14,0,South,Wall,X
14,0,West,Open,O
14,4,North,Wall,X
14,4,East,Open,O
14,4,South,Wall,X
14,4,West,Open,O
14,6,North,Wall,X
14,6,East,Open,O
14,6,South,Wall,X
14,6,West,Open,O
14,8,North,Wall,X
14,8,East,Open,O
14,8,South,Open,O
14,8,West,Wall,X
14,9,North,Open,O
14,9,East,Wall,X
14,9,South,OneWay,O
14,9,West,Wall,X
14,10,North,OneWay,X
14,10,East,Wall,X
14,10,South,Open,O
14,10,West,Wall,X
14,11,North,Open,O
14,11,East,Open,O
14,11,South,Open,O
14,11,West,Open,O
14,12,North,Open,O
14,12,East,Open,O
14,12,South,Open,O
14,12,West,Open,O
14,13,North,Open,O
14,13,East,Open,O
14,13,South,Open,O
14,13,West,Open,O
14,14,North,Open,O
14,14,East,Open,O
14,14,South,Open,O
14,14,West,Open,O
14,15,North,Open,O
14,15,East,Open,O
14,15,South,Open,O
14,15,West,Open,O
14,16,North,Open,O
14,16,East,Wall,X
14,16,South,Open,O
14,16,West,Wall,X
14,17,North,Open,O
14,17,East,Open,O
14,17,South,Wall,X
14,17,West,Door,O
14,19,North,Wall,X
14,19,East,Open,O
14,19,South,Wall,X
14,19,West,Open,O
14,21,North,Wall,X
14,21,East,Open,O
14,21,South,Wall,X
14,21,West,Open,O
14,26,North,Wall,X
14,26,East,Open,O
14,26,South,Wall,X
14,26,West,Open,O
14,28,North,Wall,X
14,28,East,Open,O
14,28,South,Open,O
14,29,North,Open,O
14,29,East,Open,O
14,29,South,Open,O
14,29,West,Wall,X
14,30,North,Open,O
14,30,East,Open,O
14,30,South,LockedDoor,X
14,31,North,LockedDoor,X
14,31,East,Open,O
14,31,South,Wall,X
14,31,West,Wall,X
14,32,North,Wall,X
14,32,East,Open,O
14,32,South,Door,O
14,32,West,Open,O
14,33,North,Door,O
14,33,East,Wall,X
14,33,South,Open,O
14,33,West,Wall,X
14,34,North,Open,O
14,34,East,Wall,X
14,34,South,Open,O
14,34,West,Wall,X
14,35,North,Open,O
14,35,East,Wall,X
14,35,South,Door,O
14,35,West,Wall,X
14,28,West,OneWay,X
14,30,West,OneWay,X
14,36,North,Door,O
14,36,East,Open,O
14,36,South,Open,O
14,36,West,Open,O
14,37,North,Open,O
14,37,East,Open,O
14,37,South,Open,O
14,37,West,Open,O
14,38,North,Open,O
14,38,East,Open,O
14,38,South,Door,O
14,38,West,Open,O
14,39,North,Door,O
14,39,East,Open,O
14,39,South,Open,O
14,39,West,Wall,X
14,40,North,Open,O
14,40,East,Open,O
14,40,South,Open,O
14,40,West,Wall,X
14,41,North,Open,O
14,41,East,Open,O
14,41,South,Open,O
14,41,West,Wall,X
14,42,North,Open,O
14,42,East,Open,O
14,42,South,Wall,X
14,42,West,Wall,X
15,0,North,Wall,X
15,0,East,Open,O
15,0,South,Wall,X
15,0,West,Open,O
15,2,North,Wall,X
15,2,East,Open,O
15,2,South,Wall,X
15,2,West,Wall,X
15,4,North,Wall,X
15,4,East,Wall,X
15,4,South,Wall,X
15,4,West,Open,O
15,6,North,Wall,X
15,6,East,Open,O
15,6,West,Open,O
15,7,East,Wall,X
15,7,South,Open,O
15,7,West,Wall,X
15,8,North,Open,O
15,8,East,Wall,X
15,8,South,Wall,X
15,8,West,Open,O
15,11,North,Wall,X
15,11,East,Wall,X
15,11,South,Open,O
15,11,West,Open,O
15,12,North,Open,O
15,12,East,Open,O
15,12,South,Open,O
15,12,West,Open,O
15,13,North,Open,O
15,13,East,Open,O
15,13,South,Open,O
15,13,West,Open,O
15,14,North,Open,O
15,14,East,Open,O
15,14,South,Open,O
15,14,West,Open,O
15,15,North,Open,O
15,15,East,Wall,X
15,15,South,Wall,X
15,15,West,Open,O
15,17,North,Wall,X
15,17,East,Wall,X
15,17,South,Open,O
15,17,West,Open,O
15,18,North,Open,O
15,18,East,Wall,X
15,18,South,Open,O
15,18,West,Wall,X
15,19,North,Open,O
15,19,East,Wall,X
15,19,South,Open,O
15,19,West,Open,O
15,20,North,Open,O
15,20,East,Wall,X
15,20,South,Door,O
15,20,West,Wall,X
15,21,North,Door,O
15,21,East,Open,O
15,21,South,Wall,X
15,21,West,Open,O
15,26,North,Wall,X
15,26,East,Open,O
15,26,South,Wall,X
15,26,West,Open,O
15,28,North,Wall,X
15,28,East,Open,O
15,28,South,Open,O
15,28,West,Open,O
15,29,North,Open,O
15,29,East,Open,O
15,29,South,Open,O
15,29,West,Open,O
15,30,North,Open,O
15,30,East,Open,O
15,30,South,Wall,X
15,30,West,Open,O
15,31,North,Wall,X
15,31,East,Wall,X
15,31,South,Wall,X
15,31,West,Open,O
15,32,North,Wall,X
15,32,East,Open,O
15,32,South,Wall,X
15,32,West,Open,O
15,6,South,OneWay,O
15,7,North,OneWay,X
15,36,North,Wall,X
15,36,East,Open,O
15,36,South,Open,O
15,36,West,Open,O
15,37,North,Open,O
15,37,East,Open,O
15,37,South,Open,O
15,37,West,Open,O
15,38,North,Open,O
15,38,East,Open,O
15,38,South,Open,O
15,38,West,Open,O
15,39,North,Open,O
15,39,East,Open,O
15,39,South,Open,O
15,39,West,Open,O
15,40,North,Open,O
15,40,East,Open,O
15,40,South,Open,O
15,40,West,Open,O
15,41,North,Open,O
15,41,East,Wall,X
15,41,South,Open,O
15,41,West,Open,O
15,42,North,Open,O
15,42,East,Open,O
15,42,South,Wall,X
15,42,West,Open,O
16,0,North,Wall,X
16,0,East,Open,O
16,0,South,Wall,X
16,0,West,Open,O
16,2,North,Wall,X
16,2,East,Open,O
16,2,South,Wall,X
16,2,West,Open,O
16,6,North,Wall,X
16,6,East,Open,O
16,6,South,Wall,X
16,6,West,Open,O
16,12,North,Wall,X
16,12,East,Wall,X
16,12,South,Open,O
16,12,West,Open,O
16,13,North,Open,O
16,13,East,Open,O
16,13,South,Open,O
16,13,West,Open,O
16,14,North,Open,O
16,14,East,Wall,X
16,14,South,Wall,X
16,14,West,Open,O
16,21,North,Wall,X
16,21,East,Open,O
16,21,South,Wall,X
16,21,West,Open,O
16,26,North,Wall,X
16,26,East,Open,O
16,26,South,Wall,X
16,26,West,Open,O
16,28,North,Wall,X
16,28,East,Open,O
16,28,South,Open,O
16,28,West,Open,O
16,29,North,Open,O
16,29,East,LockedDoor,X
16,29,South,Open,O
16,29,West,Open,O
16,30,North,Open,O
16,30,East,Open,O
16,30,South,Wall,X
16,30,West,Open,O
16,32,North,Wall,X
16,32,East,Open,O
16,32,South,Wall,X
16,32,West,Open,O
16,36,North,Wall,X
16,36,East,Open,O
16,36,South,Open,O
16,36,West,Open,O
16,37,North,Open,O
16,37,East,Open,O
16,37,South,Open,O
16,37,West,Open,O
16,38,North,Open,O
16,38,East,Open,O
16,38,South,Open,O
16,38,West,Open,O
16,39,North,Open,O
16,39,East,Wall,X
16,39,South,Open,O
16,39,West,Open,O
16,40,North,Open,O
16,40,East,Wall,X
16,40,South,Wall,X
16,40,West,Open,O
16,42,North,Wall,X
16,42,East,Wall,X
16,42,South,Wall,X
16,42,West,Open,O
17,0,North,Wall,X
17,0,East,Open,O
17,0,South,Open,O
17,0,West,Open,O
17,1,North,Open,O
17,1,East,Open,O
17,1,South,Open,O
17,1,West,Wall,X
17,2,North,Open,O
17,2,East,OneWay,X
17,2,South,Open,O
17,2,West,Open,O
17,3,North,Open,O
17,3,East,Wall,X
17,3,South,Open,O
17,3,West,Wall,X
17,4,North,Open,O
17,4,East,Open,O
17,4,South,Open,O
17,4,West,Wall,X
17,5,North,Open,O
17,5,East,Open,O
17,5,South,Open,O
17,5,West,Wall,X
17,6,North,Open,O
17,6,East,Open,O
17,6,South,Wall,X
17,6,West,Open,O
17,13,North,Wall,X
17,13,East,Door,O
17,13,South,Wall,X
17,13,West,Open,O
17,21,North,Wall,X
17,21,East,Open,O
17,21,South,Wall,X
17,21,West,Open,O
17,26,North,Wall,X
17,26,East,Open,O
17,26,South,Wall,X
17,26,West,Open,O
17,28,North,Wall,X
17,28,East,Open,O
17,28,South,Open,O
17,28,West,Open,O
17,29,North,Open,O
17,29,East,Open,O
17,29,South,Open,O
17,29,West,LockedDoor,X
17,30,North,Open,O
17,30,East,Open,O
17,30,South,Wall,X
17,30,West,Open,O
17,32,North,Wall,X
17,32,East,Open,O
17,32,South,Wall,X
17,32,West,Open,O
17,36,North,Wall,X
17,36,East,Open,O
17,36,South,Open,O
17,36,West,Open,O
17,37,North,Open,O
17,37,East,Open,O
17,37,South,OneWay,X
17,37,West,Open,O
17,38,North,OneWay,O
17,38,East,Open,O
17,38,South,Wall,X
17,38,West,Open,O
18,0,North,Wall,X
18,0,East,Wall,X
18,0,South,Open,O
18,0,West,Open,O
18,1,North,Open,O
18,1,East,Wall,X
18,1,South,Open,O
18,1,West,Open,O
18,2,North,Open,O
18,2,East,Wall,X
18,2,South,Wall,X
18,2,West,OneWay,O
18,4,North,Wall,X
18,4,East,Wall,X
18,4,South,Open,O
18,4,West,Open,O
18,5,North,Open,O
18,5,East,Wall,X
18,5,South,Open,O
18,5,West,Open,O
18,6,North,Open,O
18,6,East,Wall,X
18,6,South,Wall,X
18,6,West,Open,O
18,13,North,Wall,X
18,13,East,Open,O
18,13,South,Wall,X
18,13,West,Door,O
18,21,North,Wall,X
18,21,East,Wall,X
18,21,South,Open,O
18,21,West,Open,O
18,22,North,Open,O
18,22,East,Wall,X
18,22,South,Open,O
18,22,West,Wall,X
18,23,North,Open,O
18,23,East,Door,O
18,23,South,Open,O
18,23,West,Wall,X
18,24,North,Open,O
18,24,East,Open,O
18,24,South,Open,O
18,24,West,Wall,X
18,25,North,Open,O
18,25,East,Wall,X
18,25,South,OneWay,O
18,25,West,Wall,X
